=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.19;0;0.0
Set U = 0.96;1.17;0;0.02
Set U = 1.92;1.48;0;0.02
Set U = 2.88;2.84;0;0.03
Set U = 3.84;4.17;0;0.02
Set U = 4.8;5.11;0;0.03
Set U = 5.76;5.42;0;0.03
Set U = 6.72;6.21;0;0.02
Set U = 7.68;7.12;0;0.02
Set U = 8.64;7.65;0;0.03
Set U = 9.6;8.71;0;0.02
Set U = 10.56;10.07;0;0.02
Set U = 11.52;12.54;0;0.04
Set U = 12.48;12.42;0;0.02
Set U = 13.44;13.07;0;0.02
Set U = 14.4;13.71;0;0.03
Set U = 15.36;14.92;0;0.02
Set U = 16.32;16.21;0;0.02
Set U = 17.28;16.85;0;0.03
Set U = 18.24;18.48;0;0.03
Set U = 19.2;19.32;0;0.03
Set U = 20.16;20.38;0;0.03
Set U = 21.12;20.98;0;0.03
Set U = 22.08;22.08;0;0.03
Set U = 23.04;23.03;0;0.03
Set U = 24.0;24.28;0;0.03
============================================================
