=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.15;0;0.0
Set U = 0.96;0.98;0;0.02
Set U = 1.92;1.93;0;0.04
Set U = 2.88;3.03;0;0.04
Set U = 3.84;3.79;0;0.04
Set U = 4.8;4.85;0;0.04
Set U = 5.76;5.79;0;0.04
Set U = 6.72;6.67;0;0.04
Set U = 7.68;7.65;0;0.05
Set U = 8.64;8.6;0;0.05
Set U = 9.6;9.58;0;0.05
Set U = 10.56;10.53;0;0.05
Set U = 11.52;11.55;0;0.05
Set U = 12.48;12.5;0;0.05
Set U = 13.44;13.37;0;0.05
Set U = 14.4;14.47;0;0.05
Set U = 15.36;15.3;0;0.05
Set U = 16.32;16.29;0;0.06
Set U = 17.28;17.27;0;0.06
Set U = 18.24;18.22;0;0.06
Set U = 19.2;19.16;0;0.06
Set U = 20.16;20.15;0;0.06
Set U = 21.12;21.06;0;0.06
Set U = 22.08;22.01;0;0.06
Set U = 23.04;23.07;0;0.06
Set U = 24.0;24.01;0;0.06
============================================================
