=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.15;0;0.0
Set U = 0.96;0.95;0;0.02
Set U = 1.92;1.97;0;0.03
Set U = 2.88;2.76;0;0.04
Set U = 3.84;3.94;0;0.04
Set U = 4.8;4.73;0;0.04
Set U = 5.76;5.87;0;0.04
Set U = 6.72;6.78;0;0.04
Set U = 7.68;7.76;0;0.04
Set U = 8.64;8.6;0;0.04
Set U = 9.6;9.47;0;0.05
Set U = 10.56;10.57;0;0.05
Set U = 11.52;11.36;0;0.04
Set U = 12.48;12.5;0;0.06
Set U = 13.44;13.37;0;0.06
Set U = 14.4;14.43;0;0.05
Set U = 15.36;15.34;0;0.06
Set U = 16.32;16.21;0;0.06
Set U = 17.28;17.31;0;0.06
Set U = 18.24;18.29;0;0.06
Set U = 19.2;19.16;0;0.06
Set U = 20.16;20.11;0;0.06
Set U = 21.12;21.13;0;0.06
Set U = 22.08;22.04;0;0.06
Set U = 23.04;23.07;0;0.06
Set U = 24.0;23.9;0;0.06
============================================================
