=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.19;0.0;0.01
Set U = 0.96;1.02;0.0;0.14
Set U = 1.92;1.82;0.0;0.17
Set U = 2.88;3.03;0.0;0.25
Set U = 3.84;3.83;0.0;0.19
Set U = 4.8;4.92;0.0;0.26
Set U = 5.76;5.79;0.0;0.17
Set U = 6.72;6.86;0.0;0.36
Set U = 7.68;7.73;0.0;0.21
Set U = 8.64;8.48;0.0;0.34
Set U = 9.6;9.43;0.0;0.13
Set U = 10.56;10.45;0.0;0.3
Set U = 11.52;11.48;0.0;0.15
Set U = 12.48;12.39;0.0;0.29
Set U = 13.44;13.6;0.0;0.13
Set U = 14.4;14.51;0.0;0.4
Set U = 15.36;15.42;0.0;0.2
Set U = 16.32;16.29;0.0;0.39
Set U = 17.28;17.38;0.0;0.51
Set U = 18.24;18.22;0.0;0.13
Set U = 19.2;19.2;0.0;0.13
Set U = 20.16;20.04;0.0;0.45
Set U = 21.12;21.1;0.0;0.5
Set U = 22.08;22.08;0.0;0.38
Set U = 23.04;23.03;0.0;0.19
Set U = 24.0;24.01;0.0;0.26
============================================================
