=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.1
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.114;0.01;0.001
Set U = 0.96;0.871;0.01;0.007
Set U = 1.92;1.856;0.01;0.013
Set U = 2.88;2.954;0.01;0.011
Set U = 3.84;3.901;0.01;0.011
Set U = 4.8;4.81;0.01;0.01
Set U = 5.76;5.833;0.01;0.011
Set U = 6.72;6.817;0.01;0.011
Set U = 7.68;7.689;0.01;0.011
Set U = 8.64;8.787;0.01;0.011
Set U = 9.6;9.469;0.01;0.012
Set U = 10.56;10.605;0.01;0.012
Set U = 11.52;11.514;0.01;0.011
Set U = 12.48;12.385;0.01;0.012
Set U = 13.44;13.521;0.01;0.012
Set U = 14.4;14.317;0.01;0.012
Set U = 15.36;15.377;0.01;0.012
Set U = 16.32;16.286;0.01;0.012
Set U = 17.28;17.157;0.01;0.012
Set U = 18.24;18.218;0.01;0.012
Set U = 19.2;19.203;0.01;0.013
Set U = 20.16;20.225;0.01;0.012
Set U = 21.12;21.134;0.01;0.013
Set U = 22.08;22.005;0.01;0.013
Set U = 23.04;23.028;0.01;0.013
Set U = 24.0;24.013;0.01;0.013
============================================================
